,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
1168,スズキ,ハスラー 660 ハイブリッド G 純正ナビ 衝突軽減 レーンアシスト禁煙車,129.9,119.6,クロカン・ＳＵＶ,薄黄,2021,2.2万km,車検整備付,なし,保証付,660CC,東近江市,滋賀県
1169,ホンダ,N-ONE 660 スタンダード 純正Dオーディオ/バックカメラ/プッシュス,87.2,79.9,ハッチバック,黒,2018,1.7万km,2023(R05)年12月,なし,保証付,660CC,野々市市,石川県
1170,ホンダ,N-ONE 660 スタンダード 純正Dオーディオ/バックカメラ/プッシュス,87.2,79.9,ハッチバック,黒,2018,1.7万km,2023(R05)年12月,なし,保証付,660CC,野々市市,石川県
1171,ホンダ,N-BOX 660 G ホンダセンシング 衝突ブレ・クルコン・両側スラ・LED・ETC,106.7,99.7,ハッチバック,緑真珠,2020,1.9万km,車検整備付,なし,保証付,660CC,和歌山市,和歌山県
1172,ダイハツ,キャスト アクティバ 660 G プライムコレクション SAIII 4WD 純正ナビ　シートヒーター　純正ナビ,105.9,97.8,ハッチバック,赤Ｍ,2018,5.2万km,2025(R07)年03月,なし,保証付,660CC,札幌市手稲区,北海道
1173,マツダ,フレアクロスオーバー 660 ハイブリッド XG ETC　シートヒーター　被害軽減ブレーキ,120.5,113.0,クロカン・ＳＵＶ,青灰,2021,1万km,車検整備付,なし,保証付,660CC,春日市,福岡県
1174,ホンダ,N-BOX 660 G ターボLパッケージ 2トーンカラースタイル Bluetooth 両側電動 MTモード 1年保証,66.8,58.5,ハッチバック,II,2014,6.7万km,2025(R07)年05月,なし,保証付,660CC,堺市南区,大阪府
1175,スズキ,ハスラー G スマートキー　シートヒーター,93.2,88.0,クロカン・ＳＵＶ,緑,2018,6.2万km,2025(R07)年02月,なし,保証付,660CC,福岡市博多区,福岡県
1176,日産,デイズ 660 X 4WD 禁煙車　純正ナビ　ドライブレコーダー,121.2,109.9,ハッチバック,白,2020,1.7万km,車検整備付,なし,保証付,660CC,酒田市,山形県
1177,スズキ,ハスラー 660 G 衝突軽減 ナビ 温シート 盗難防止 純正AW,90.6,81.6,クロカン・ＳＵＶ,緑,2017,2.8万km,2024(R06)年04月,なし,保証付,660CC,津市,三重県
1178,日産,デイズ 660 ハイウェイスターGターボ 自発光式2連アナログメーター,74.4,68.0,ハッチバック,灰,2016,4.4万km,2025(R07)年06月,なし,保証付,660CC,流山市,千葉県
1179,ホンダ,S660 660 ベータ 6MT禁煙 USB接続LEDアルミETCスマ-トキ-VSA,252.3,245.8,オープン,白真珠,2021,0.3万km,2024(R06)年11月,なし,保証付,660CC,半田市,愛知県
1180,ホンダ,N-BOXスラッシュ 660 G Lパッケージ 4WD 検・2年付/ナビ/Bカメ/USB接続/HID/ETC,60,50.0,ハッチバック,黒,2016,10.3万km,車検整備無,あり,保証無,660CC,郡山市,福島県
1181,ダイハツ,ハイゼットカーゴ 660 デラックス ハイルーフ 車検2年含/自社保障/法人様歓迎/キーレス,77.8,68.0,ハッチバック,銀,2017,3.9万km,車検整備付,なし,保証付,660CC,千葉市稲毛区,千葉県
1182,ホンダ,N-BOX 660 L 片側電動 シートヒーター 届出済未使用車,133.8,124.8,ハッチバック,黒,2023,10km,2026(R08)年06月,なし,保証付,660CC,豊田市,愛知県
1183,ホンダ,N-BOX カスタム 660 G EX ターボ ホンダセンシング ナビ/Bluetooth/シーケンシャルウィンカー,149.8,139.9,ハッチバック,黒Ｍ,2020,1.4万km,2025(R07)年09月,なし,保証付,660CC,富士市,静岡県
